Badakhshan,30,Fayzabad,0.0,689.8065311992846,292.1405402330667,323.648914690986,438.4404649485326,577.2365960985172,926.3709241976605,577.7104745790284,521.5951353983098,600.1851263757412,901.4712339394138,836.6848477645033,458.5912034875536,392.4013356083996,834.0979583807488,306.39380104285345,505.48749915605885,379.76702374126324,214.61820266083723,367.8612834515492,472.4828483528895,381.7661828543698,1134.2038768672508,272.5216777709837,493.85722229785085,475.2793470890008,294.7680981828716,319.6050567027689,263.46357161726667,460.95588391619054,168.0929524481538,736.6931810990783,418.5388529431766,663.1955262787594
Badghis,4,Qala i Naw,689.8065311992846,0.0,443.92683343735837,366.976499500595,348.98084841479084,305.5173523097878,280.9255519644053,127.5125913183713,443.48553727014314,136.81829688620982,363.6996280482333,151.59114320505878,255.13545905053638,497.1430539270614,391.99848355088227,505.22644466318053,562.8861020751827,752.4259729383616,482.4876568901994,589.083250253146,503.54762449938835,604.0122660921515,490.9031439216486,630.0700309274563,519.9346243193881,449.9174730246827,516.0236733033689,496.2092181297106,435.64437789092204,239.70542846414187,548.2323722627548,298.71916971184356,444.89630873496935,343.7850781002128
Baghlan,19,Puli Khumri,292.1405402330667,443.92683343735837,0.0,153.98786124340975,146.30023691313934,285.1330863767193,647.6629049800575,359.88262171441175,250.08195340165514,329.79133646028794,610.2484214975872,595.5115564900908,282.86991596571534,152.96453451366978,542.3690020667188,87.29027651148961,283.72405354431186,338.17776257993665,95.84974259787474,202.355173109835,227.5162402860442,222.2371198414222,850.353659405655,196.69526060563604,253.6852200954248,207.47888578544683,90.92087960000337,88.46323835423145,70.547224102285,266.5892310369804,124.67916554576131,444.7135414782945,148.93861896022375,372.32042214523267
Balkh,13,Mazar-i-Sharif,323.648914690986,366.976499500595,153.98786124340975,0.0,217.65958768477012,333.4258781379904,617.0391420824163,254.7900086155973,360.42524984722394,291.9587570437573,622.0237732595788,513.0374745599488,145.351098006738,298.0391652291881,580.2967681103818,241.25346943801713,424.09846642629634,486.35117753428864,130.03577834339458,356.3064026649976,361.85800854928283,376.1612681968407,829.0693590451557,340.1393178328162,388.17288697264405,327.3071689775177,244.0384387549588,241.99880016631334,97.26207995969882,140.30962114999545,200.87598740920666,471.31033640964205,276.4284195008626,426.5426292471644
Bamyan,15,Bamyan,438.4404649485326,348.98084841479084,146.30023691313934,217.65958768477012,0.0,138.89361272507642,513.8692537559788,302.5809441089424,147.1505937422202,216.99690264272243,464.8861408977954,495.99689721611827,281.2011972941858,148.46637180898293,396.46921713829784,168.81429820115915,238.30642029647234,404.05361086347654,234.3064156730657,240.12361460745092,172.88868453432468,255.12678867814407,710.8356188975847,291.3203570252623,196.02152975174968,124.60720684624594,181.56767399827353,157.0546976195046,192.08108413966787,254.0646641696675,270.7702032010972,298.6360796482263,98.16503030946167,227.79714156597854
Daykundi,10,Nili,577.2365960985172,305.5173523097878,285.1330863767193,333.4258781379904,138.89361272507642,0.0,398.6186804334672,313.8814955436791,144.75029002290444,173.47602323297295,328.8718061483624,432.5114441567067,347.6714032298691,242.55734671318788,257.7943902900945,294.777398154648,266.72917545046323,495.4515295189501,372.0249465558177,332.8342555239062,216.20433974336953,342.0838617904667,583.8939030835755,407.6983895012672,226.20212377399994,166.14029265236985,308.14481508809996,281.48420346365606,327.81270906308583,317.4782150494645,409.3875280441077,161.26576477961746,190.40961676089532,93.25699104465491
Farah,2,Farah,926.3709241976605,280.9255519644053,647.6629049800575,617.0391420824163,513.8692537559788,398.6186804334672,0.0,406.31637592818146,534.6157716404172,326.90860826248667,172.6975628762271,228.31203176729989,529.2010897036449,640.4866801265691,274.4460395561724,682.3473646220726,651.5353313192625,893.6919567017769,711.8584593387105,731.4399060762704,610.7226975111545,740.5515469950417,213.2437020214864,802.0135768926524,615.861072242434,563.6024673075519,695.272874600001,670.0989953626412,662.9827906536644,508.9489706862751,767.9779759343314,266.3033357061422,587.3079744711667,363.96163820249535
Faryab,5,Maymana,577.7104745790284,127.5125913183713,359.88262171441175,254.7900086155973,302.5809441089424,313.8814955436791,406.31637592818146,0.0,428.5584943413112,152.70892640166727,468.53930935070827,261.0177083942814,128.90221377222338,446.82996160722223,473.5613238272616,433.92916632178157,537.6184614232949,689.3094468095981,379.4388017222905,532.8092315661196,473.32128288780535,550.1034121025256,617.6885141929954,555.077156208433,494.35361748074024,421.5871298853252,442.7113139223185,427.5343939258574,336.112800211586,117.79118461177762,448.6748178504527,367.3920134036291,400.16586738222213,380.7812649151793
Ghazni,16,Ghazni,521.5951353983098,443.48553727014314,250.08195340165514,360.42524984722394,147.1505937422202,144.75029002290444,534.6157716404172,428.5584943413112,0.0,307.28353793848703,438.33076452024443,576.1380989308814,426.04799395098445,135.09630416037203,342.36598179806606,215.61259472873127,121.99268720161022,362.78792699238215,345.89979990180416,209.07138694571555,77.18083421704725,213.35287794132952,706.2513177100237,301.1150169172607,82.04174643327543,46.44435005378342,227.8643115097593,202.1639767472018,314.24859948976876,397.8675958113129,358.3628468307813,276.4241042799396,103.98776460211708,178.70503221550743
Ghor,6,Chaghcharan,600.1851263757412,136.81829688620982,329.79133646028794,291.9587570437573,216.99690264272243,173.47602323297295,326.90860826248667,152.70892640166727,307.28353793848703,0.0,340.6889129758867,279.3428916590963,232.3749775881996,363.56606347524547,327.10261442033345,380.3259553376635,426.14315455114183,620.8699884552515,386.10371444200507,456.3814462459126,366.7820567226461,470.4869547666162,537.6633512836862,505.0809650992711,383.14294737130774,313.1562081771789,392.04713244959925,370.06938807595435,337.29485070870516,205.1763117684986,445.16998829431043,217.90543858107586,310.4608418592182,229.49550126513114
